COMPANY,SLOGAN,URL,GICS_Sector,SectorId,GICS_SubIndustry,WORDS,
Burger King,Aren't You Hungry for Burger King now?,Burger King,Consumer Discretionary,1,,,
Burger King,Have it your way.,Burger King,Consumer Discretionary,1,,,
Burger King,Home of the Whopper.,Burger King,Consumer Discretionary,1,,,
C. H. Robinson Worldwide,Get You There Faster.,C. H. Robinson Worldwide,Industrials,5,Air Freight & Logistics,4,
"CA, Inc.",Agility made possible,"CA, Inc.",Information Technology,7,Systems Software,3,
Cablevision Systems Corp.,Reach Out and Touch Someone.,Cablevision Systems Corp.,Telecommunication Services,10,,5,
Cabot Oil & Gas,"Clean Energy, Stronger Communities",Cabot Oil & Gas,Energy,3,Oil & Gas Exploration & Production,4,
Calvin Klein's Obsession,Between love and madness lies Obsession.,Calvin Klein's Obsession,Consumer Staples,2,,,
Camel cigarettes,I'd walk a mile for a Camel.,Camel cigarettes,Consumer Staples,2,,,
Cameron International Corp.,Raising Performance. Together.,Cameron International Corp.,Financials,4,,3,
Campbell Soup,It’s Amazing What Soup Can Do!,Campbell Soup,Consumer Staples,2,Packaged Foods & Meats,6,
Campbell's Soup,M'm! M'm! Good!,Campbell's Soup,Consumer Discretionary,1,,,
Capital One Financial,What’s in your wallet?,Capital One Financial,Financials,4,Consumer Finance,4,
Cardinal Health Inc.,Essential to care,Cardinal Health Inc.,Health Care,6,Health Care Distributors,3,
Caribou Coffee,Life is short. Stay awake for it!,Caribou Coffee,Consumer Discretionary,1,,,
Carl's Jr.,"If it doesn't get all over the place, it doesn't belong in your face.",Carl's Jr.,Consumer Discretionary,1,,,
Carlsberg,Probably the best lager in the world.,Carlsberg,Consumer Discretionary,1,,,
Carmax Inc,The Way Car Buying Should Be,Carmax Inc,Consumer Discretionary,1,Specialty Stores,6,
Carnival Corp.,Fun For All. All For Fun,Carnival Corp.,Consumer Discretionary,1,"Hotels, Resorts & Cruise Lines",6,
Cartoon Network,The Best Place for Cartoons.,Cartoon Network,Consumer Discretionary,1,,,
Caterpillar Inc.,Earthmoving solutions for today’s challenges.,Caterpillar Inc.,Industrials,5,Construction Machinery & Heavy Trucks,5,
CBRE Group,Local Real Estate. Worldwide,CBRE Group,Real Estate,9,Real Estate Services,4,
CBS,We've got the touch.,CBS,Consumer Discretionary,1,Broadcasting,,
CBS Corp.,Only CBS,CBS Corp.,Consumer Discretionary,1,Broadcasting,2,
Celgene Corp.,Committed to improving the lives of patients worldwide,Celgene Corp.,Health Care,6,Biotechnology,8,
Centene Corporation,Better health outcomes at lower costs,Centene Corporation,Health Care,6,Managed Health Care,6,
CenterPoint Energy,Always there.,CenterPoint Energy,Utilities,11,Multi-Utilities,2,
CenturyLink Inc,Stronger Connected,CenturyLink Inc,Telecommunication Services,10,Integrated Telecommunication Services,2,
