COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,
The Mosaic Company,Helping the World Grow the Food it Needs,15,The Mosaic Company,Materials,Fertilizers & Agricultural Chemicals,8,
The Walt Disney Company,I’m going to Disney World!,25,The Walt Disney Company,Consumer Discretionary,Cable & Satellite,5,
Thermo Fisher Scientific,The world leader in serving science,35,Thermo Fisher Scientific,Health Care,Health Care Equipment,6,
Tiffany & Co.,True love grows,25,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3,
TIMESJOBS.COM ," "" If you have a reason, we have the job """,25,,Consumer Discretionary,,,
TJX Companies Inc.,Get the max for the minimum.,25,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,6,
Torchmark Corp.,For “middle income” Americans,40,Torchmark Corp.,Financials,Life & Health Insurance,4,
TOSHIBA , Choose Freedom,25,,Consumer Discretionary,,,
Total System Services,People-Centered Payments®,45,Total System Services,Information Technology,Internet Software & Services,2,
TOYOTA , Touch The Perfection,25,,Consumer Discretionary,,,
Tractor Supply Company,For Life Out Here,25,Tractor Supply Company,Consumer Discretionary,Specialty Stores,4,
TripAdvisor,Plan and book your perfect trip,25,TripAdvisor,Consumer Discretionary,Internet & Direct Marketing Retail,6,
Twenty-First Century Fox Class A,HOME ENTERTAINMENT,25,Twenty-First Century Fox Class A,Consumer Discretionary,Publishing,2,
Twenty-First Century Fox Class B,HOME ENTERTAINMENT,25,Twenty-First Century Fox Class B,Consumer Discretionary,Publishing,2,
Tyson Foods,Powered by Tyson.,30,Tyson Foods,Consumer Staples,Packaged Foods & Meats,3,
U.S. Bancorp,All of US serving you.,40,U.S. Bancorp,Financials,Diversified Banks,5,
UBS , You and Us,40,,Financials,,,
UDR Inc,Opening Doors To The Future,60,UDR Inc,Real Estate,Residential REITs,5,
Under Armour,Protect This House,25,Under Armour Class A,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",3,
Union Bank of India , Good People to Bank with,40,,Financials,,,
Union Pacific,Building America.,20,Union Pacific,Industrials,Railroads,2,
United Continental Holdings,Let’s fly together,20,United Continental Holdings,Industrials,Airlines,3,
United Health Group Inc.,Helping People Live Healthier Lives.,35,United Health Group Inc.,Health Care,Managed Health Care,5,
United Parcel Service,We run the tightest ship in the shipping business.,20,United Parcel Service,Industrials,Air Freight & Logistics,9,
"United Rentals, Inc.",You’re building the future. We’re here to help.™,20,"United Rentals, Inc.",Industrials,Trading Companies & Distributors,8,
United Technologies,You can see everything from here,20,United Technologies,Industrials,Aerospace & Defense,6,
"Universal Health Services, Inc.",The Health Care you need. Close to Home.,35,"Universal Health Services, Inc.",Health Care,Health Care Facilities,8,
Unum Group,Better Benefits at Work.,40,Unum Group,Financials,Life & Health Insurance,4,
V.F. Corp.,We Fit Your Life,25,V.F. Corp.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",4,
Valero Energy,Investing in Excellence.,10,Valero Energy,Energy,Oil & Gas Refining & Marketing,3,
Varian Medical Systems,A partner for life,35,Varian Medical Systems,Health Care,Health Care Equipment,4,
Ventas Inc,"Reliable Capital, Delivering value",60,Ventas Inc,Real Estate,Health Care REITs,4,
Verisign Inc.,Powered by Verisign,45,Verisign Inc.,Information Technology,Internet Software & Services,3,
Verisk Analytics,Serve. Add Value. Innovate,20,Verisk Analytics,Industrials,Research & Consulting Services,4,
Verizon Communications,Rule the Air,50,Verizon Communications,Telecommunication Services,Integrated Telecommunication Services,3,
Vertex Pharmaceuticals Inc,The Science of Possibility,35,Vertex Pharmaceuticals Inc,Health Care,Biotechnology,4,
Viacom Inc.,I want My MTV,25,Viacom Inc.,Consumer Discretionary,Cable & Satellite,4,
Virginia Slim Cigarettes, YOU'VE COME A LONG WAY BABY,25,,Consumer Discretionary,,,
Visa Inc.,Go with Visa,45,Visa Inc.,Information Technology,Internet Software & Services,3,
VIZAG STEEL , Pride of Steel,15,,Materials,,,
VOLKSWAGEN, Think Small,25,,Consumer Discretionary,,,
VOLKSWAGEN , Drivers wanted,25,,Consumer Discretionary,,,
Vornado Realty Trust,Fully-integrated real estate investment trust,60,Vornado Realty Trust,Real Estate,Office REITs,5,
Vulcan Materials,Think Safety,15,Vulcan Materials,Materials,Construction Materials,2,
Walgreens Boots Alliance,The Pharmacy America trusts.,30,Walgreens Boots Alliance,Consumer Staples,Drug Retail,4,
WALMART , Always low prices. Always.,30,Walmart,Consumer Staples,Hypermarkets & Super Centers,,
Wal-Mart Stores,Save Money. Live Better.,30,Walmart,Consumer Staples,Hypermarkets & Super Centers,4,
Waste Management Inc.,Think green,20,Waste Management Inc.,Industrials,Environmental & Facilities Services,2,
Waters Corporation,The science of what’s possible,35,Waters Corporation,Health Care,Health Care Distributors,5,
Wells Fargo,Together we’ll go far.,40,Wells Fargo,Financials,Diversified Banks,4,
Welltower Inc.,Humane Capital Help Desk,60,Welltower Inc.,Real Estate,Health Care REITs,4,
Western Digital,Designed to protect your data.,45,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",5,
Western Union Co,The fastest way to send money – worldwide,40,Western Union Co,Financials,Internet Software & Services,8,
Weyerhaeuser Corp.,Growing a truly great company.,60,Weyerhaeuser,Real Estate,Specialized REITs,5,
Whirlpool Corp.,"Work Globally, Act Locally",25,Whirlpool Corp.,Consumer Discretionary,Household Appliances,4,
Williams Cos.,We make energy happen.,10,Williams Cos.,Energy,Oil & Gas Storage & Transportation,4,
Willis Towers Watson,Family of Companies,40,Willis Towers Watson,Financials,Insurance Brokers,3,
WIPRO , Applying Thought,45,,Information Technology,,,
Wynn Resorts Ltd,Wynn Las Vegas,25,Wynn Resorts Ltd,Consumer Discretionary,Casinos & Gaming,3,
Xcel Energy Inc,Responsible by Nature,55,Xcel Energy Inc,Utilities,Multi-Utilities,3,
Xerox, THE DOCUMENT COMPANY,45,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",,
Xerox Corp.,Work can work better,45,Xerox,Information Technology,"Technology Hardware, Storage & Peripherals",4,
Xilinx Inc,All Programmable,45,Xilinx,Information Technology,Semiconductors,2,
XL Capital,Make Your World Go,40,XL Group,Financials,Property & Casualty Insurance,4,
Xylem Inc.,Let’s Solve Water,20,Xylem Inc.,Industrials,Industrial Machinery,3,
Yum! Brands Inc,Alone we’re delicious…together we’re Yum!,25,Yum! Brands Inc,Consumer Discretionary,Restaurants,5,
Zimmer Biomet Holdings,Personal fit. Renewed life,35,Zimmer Biomet Holdings,Health Care,Health Care Equipment,4,
Zions Bancorp,A collection of Great banks,40,Zions Bancorp,Financials,Regional Banks,5,
Zoetis,"For Animals, For Health. For You",35,Zoetis,Health Care,Pharmaceuticals,6,
