COMPANY,SLOGAN,SectorId,URL,Telecommunication Services,GICS_SubIndustry,WORDS,
CSX Corp.,How tomorrow moves.,20,CSX Corp.,Industrials,Railroads,3,
Cummins Inc.,Making people’s lives better by unleashing the power of Cummins.,20,Cummins Inc.,Industrials,Industrial Machinery,10,
CVS Caremark Corp.,Health is everything,35,CVS Health,Health Care,Drug Retail,3,
D. R. Horton,America’s Builder,25,D. R. Horton,Consumer Discretionary,Homebuilding,2,
Danaher Corp.,Invent.,20,Danaher Corp.,Industrials,Health Care Equipment,1,
Darden Restaurants,To nourish and delight everyone we serve,25,Darden Restaurants,Consumer Discretionary,Restaurants,7,
DaVita Inc.,Bringing quality to life,35,DaVita Inc.,Health Care,Health Care Facilities,4,
DeBeers,A diamond is forever.,15,DeBeers,Materials,,,
Deere & Co.,Nothing runs like a Deere.,20,Deere & Co.,Industrials,Agricultural & Farm Machinery,5,
Dell Computer,Easy as Dell,45,,Information Technology,,,
Delphi Automotive,Partner of Choice.,20,Delphi Automotive,Industrials,,3,
Delta Air Lines,Keep Climbing.,20,Delta Air Lines Inc.,Industrials,Airlines,2,
Dentsply Sirona,For better dentistry.,35,Dentsply Sirona,Health Care,Health Care Supplies,3,
Deutsche Bank , A Passion to Perform,40,,Financials,,,
Devon Energy Corp.,Commitment runs deep.,10,Devon Energy Corp.,Energy,Oil & Gas Exploration & Production,3,
DHL,We keep your promises.,20,DHL,Industrials,,,
DHL, We move the world,20,DHL,Industrials,,,
Diamond Offshore Drilling,Hooked On Safety,10,Diamond Offshore Drilling,Energy,,3,
DIGIT ,"Save money, without thinking about it.",40,,Financials,,,
Discover Financial Services,There’s always something more to Discover,40,Discover Financial Services,Financials,Consumer Finance,6,
Discovery Communications-A,"Let’s All Discover, Why No Myth Is Safe",25,Discovery Inc. Class A,Consumer Discretionary,Cable & Satellite,8,
Discovery Communications-C,"Let’s All Discover, Why No Myth Is Safe",25,Discovery Inc. Class C,Consumer Discretionary,Cable & Satellite,8,
Dollar General,"Save Time, Save Money, Everyday.",25,Dollar General,Consumer Discretionary,General Merchandise Stores,5,
Dollar Tree,Everything’s $1,25,Dollar Tree,Consumer Discretionary,General Merchandise Stores,2,
Dominion Resources,What we do everyday Powers you everyday,55,Dominion Energy,Utilities,Electric Utilities,7,
Domino's Pizza,"Get the door, it's Domino's!",25,Domino's Pizza,Consumer Discretionary,,,
Domino's Pizza,You got 30 minutes.,25,Domino's Pizza,Consumer Discretionary,,,
Dover Corp.,redefining what's possible,20,Dover Corp.,Industrials,Industrial Machinery,3,
